Question,Answer,Round,Used,UK
"In TV comedy, which 2009 sitcom coined the expression 6 seasons and a movie?",Community,3,,
With which sport is Olympic medalist Michael Phelps associated?,Swimming,3,1,
"In music, John Deacon, Roger Taylor and Brian May were three members of which British rock band?",Queen,2,,
"In entertainment, Nancy Cartwright is most famously known for voicing which Simpsons character?",Bart,5,,
"In music, brothers Joe, Kevin and Nick make up which famous American pop rock band?",Jonas Brothers,5,,
"In geography, what is the longest river in the UK?",Severn,3,,
"In literature, The BFG and Esio Trot are novels by which author?",Roald Dahl,1,1,
"In TV, the character Walter White is known for making a blue varient of which drug?",Cystal Meth / Methamphetamine,3,1,
"In US geography, the District of Colombia is sandwiched between Maryland and which other state?",Virginia,final,,
"In popular culture, Barack Obama and Bob the Builder share what slogan?",Yes We Can,4,,
"In poetry, a haiku is a Japanese poem that consists of how many lines?",3,3,,
"In biology, what blood type is known as a universal donor?",O negative,5,1,
A person who peddles medicines that are fake or ineffective is commonly said to be selling snake what?,Oil,5,1,
A person who works full-time and gets paid fortnightly would receive how many pay cheques in one year?,26,4,,
"In diets, a pescetarian breaks from the vegetarian code by eating what type of food?",Fish,3,1,
"In geography, what Asian island nation lies just off the south eastern coast of India?",Sri Lanka,3,,
"In sport, what is the name of the yearly Gloucestershire event in which a wheel of dairy product is chased down a hill?",Cheese rolling,6,1,
"In cinema, in which film does Jim Carrey play Stanley Ipkiss, a man that turns into an eccentric green-skinned being who can bend reality?",The Mask,5,,
"In France, what holiday is celebrated each year on the 14th of July?",Bastille Day / Fête nationale,5,1,
"In comedy, Eddie Large is one half of the double act known as what?",Little and Large,6,,1
"In computer spreadsheets, what formula is used to total up all numbers in a range of cells?",SUM,5,,
"In gardening, what S is a powered grass cutting device that commonly uses a nylon cord which rotates rapidly on a spindle?",Strimmer,7,,
"In history, the Tang Dynasty was an imperial dynasty in which Asian country?",China,4,,
"In UK terminology, what term meaning an area around a city in which building is restricted, is also a term used in many martial arts?",Green belt,6,1,1
"In astronomy, what star is the shortest distance from the planet Neptune?",The Sun,2,,
"In geography, what country is the most southerly in continental North America?",Panama,7,,
"In retail, what chain of eatery gets its name from the French phrase that translates as ""ready to eat""?",Pret a Manger,4,1,
"In nature, which is the only mammal that can fly?",Bat,final,1,
"In geography, Svalbard is a northerly island territory that is part of which country?",Norway,final,1,
"In geography, which British Crown dependency, situated in the Irish sea has a flag containing three armoured legs?",Isle of Mann,3,,
"In literature, Robert Galbraith is a pseudonym of which famous author?",JK Rowling,4,,
"In music, which Southampton R&B singer topped the UK charts in 2000 with 7 Days?",Craig David,3,,1
"In video games, what is the name of Mario's brother from the popular Nintendo franchise?",Luigi,1,,
"In sport, Anna Kournikova was a tennis player from which country?",Russia,5,,
"In electronics, ohms is the standard derived unit to measure what? ",Resistance,7,,
"In entertainment, which Radio series featured the characters of Ford Prefect and Arthur Dent?",The Hitchhikers Guide To The Galaxy,5,,
"In comedy, which show featured Mark Corrigan and Jeremy Usborne and had every camera shot form the perspective of a character?",Peep Show,4,,1
"In science, a stamen and a stigma are parts of the anatomy of a whale or a flower?",A Flower,3,,
"In science, a cumulus nimbus is a type of what?",Cloud,4,1,
"In maths, what is the cubed route of 216?",6,6,1,
"In UK politics, in which year did David Cameron resign as UK Prime Minister?",2016,5,,
"In music, Beethoven was born in which country?",Germany,6,1,
"In health, what does the D in ‘covid-19’ stand for?",Disease,6,1,
"In geography, what is the largest country in the world with only one time zone?",China,final,1,
"In comedy, on what island do Father Ted, Father Dougal and Father Jack live upon?",Craggy Island,5,,1
"In retail, which breakfast cereal has the cartoon mascots; Snap, Crackle and Pop?",Rice Krispies,1,,
"In business, Google aquired which popular video streaming website in 2006?",YouTube,3,,
"In business, which company was the first to reach a market value of 1 trillion US dollars?",Apple,4,,
"In carpentry, what is a possible specialisation? Joinery or smithing",Joinery,4,1,
"In economics, which of these countries has not adopted the Euro? Denmark or Slovenia",Denmark,5,,
"In nature, sand, cow and hammerhead are types of which sea creature?",Shark,3,,
"In history, what year were East and West Germany reunified? ",1990,7,,
"In technology, what was the original maximum number of characters for messages published on the social media site, Twitter?",140,3,,
"In television, the crash of flight Oceanic 815 appeared in which 2004 show?",LOST,3,,
"In games, how many dice does a player start their turn rolling, in a game of Yahtzee?",5,4,1,
"In objects, what is the total value of all sides on a standard six sided die?",21,5,,
"In cinema, what mostly silent movie won the Academy Award for Best Picture in 2011?",The Artist,6,,
"In literature, which book is the longest by page count in the Harry Potter series by JK Rowling?",Order of the Phoenix,6,,
"In electronics, what does the D in LED stand for?",Diode,4,,
"In video games, what S is a popular mobile game, where a player collects pellets that makes their character grow in length?",Snake,4,1,
"In South America, what is the most commonly spoken language, beating Spanish by a small margin?",Portuguese,6,,
"In Russian currency, one hundred kopeyka make up one what?",Ruble,5,,
"In television, what series that ran from 2001 to 2011 and focused on the life of a teenager named Clark Kent?",Smallville,3,,
