Question,Answer,Round,Used,UK
"In food, what colour is the flesh of a coconut?",White,1,1,
"In astrology, a lion is a symbol for which sign of the Zodiac?",Leo,1,1,
"In a standard pack of 54 cards, how many jokers are there?",2,1,,
"In nature, a signet is the young of what bird?",Swan,1,,
What S is the nickname given to the dachshund breed of dog?,Sausage dog,1,,
"In TV, which sitcom starring David Jason and Nicholas Lyndhurst took its title from a cockney saying?",Only Fools and Horses,1,1,1
From which 1939 musical comes the lyric “somewhere over the rainbow way up high”?,The wizard of oz,1,,
"In food, what Z is the outer skin of a citrus fruit?",Zest,1,1,
Which Shakespeare play features the 3 witches?,Macbeth,1,,
"In nature, which is a member of the shark family? The cat-fish or the dog-fish",Dogfish,3,,
"In the sitcom One Foot In The Grave, what was the name of Margaret Meldrew's husband?",Victor Meldrew,7,,1
"In maths, how many degrees are there in a circle?",360,1,,
"In the animal kingdom, is the scorpion considered an arachnid?",Yes,1,1,
"In food, a tangelo is a cross between a grapefruit and what other citrus fruit?",A tangerine,1,1,
What premiership football team has their home ground at Old Trafford?,Manchester United,1,,
"In the TV sitcom, The Vicar of Dibley, is the titular character called Geraldine or Josephine?",Geraldine,1,1,1
Which sea creatures name is often shortened to winkle?,Periwinkle,6,1,1
"Proverbially, what hath no fury like a woman scorned?",Hell,1,,
"A cat chases a mouse for 15 meters, how much is that in centimetres?",1500,1,1,
"In the animal kingdom, what D is a breed of dog with a smooth white coat and distinctive black or brown spots?",Dalmatian,1,,
At the seaside children use buckets and spaces to build castles made of which granular substance?,Sand,1,,
"In the British military, the three main armed services are The Army, The Royal Navy and the Royal what?",Airforce,1,,
"In the UK general election held in May 2010, which political party won the largest number of seats, but not enough for a overall majortiy?",Conservative,1,,
"In humans, the short hairs called lashes, are found on what part of the body; on elbows or eyelids?",Eyelids,1,,
"In hobbys, the long thin rods used to hold the stitches when making garments with wool, are called knitting what?",Needles,1,,
"In vocabluary, which term for a celestial body precedes the word ""struck"" to make phrase for a person obsessed by a celebrity?",Star,1,1,
"In accomodation, in the abreviation B and B, if the second B stands for breakfast, what does the first B stand for?",Bed,1,,
"In the measurement of time, what is the most common word for the part of the day that lasts from dawn until noon?",Morning,1,1,
"In geography, the great lakes are in the United States and which neighbouring country?",Canada,1,,
"In England, what kind of head wear is shown off in an Easter parade at Battersea every year?",Bonnet,3,1,1
What A is a substance that sticks two surfaces together?,Adhesive,2,,
Warwick is home of the administrative head quarters of which English county?,Warwickshire,2,,
"In the human body, which A is a hormone excreted by the adrenal gland in times of stress or in response to a fright or a shock?",Adrenal,2,,
"The 19th century Italian author and journalist, Carlo Collodi, is the creator of which well known children’s wooden puppet character?",Pinocchio,2,1,
"In science, are coal and oil renewable or non renewable energy sources?",Non renewable,2,,
"In maths, what S is a perfectly round solid where any point on its surface is the same distance from the centre?",Sphere,2,,
"Complete the title of this 1985 film directed by Sydney Pollack, Out of What?",Africa,6,,
"In food, what member of the parsley family has lacey green foliage and long, slender, edible orange roots?",Carrot,2,,
"In American slang, a buck refers to what amount of money?",1 dollar,2,,
"In language, is the word “intelligent” a noun or an adjective?",Adjective,2,,
"In biology, what D is the process in which food is broken down in the human body?",Digestion,2,1,
"In the animal kingdom, is a swift a type of bird or fish?",Bird,2,,
"In computer technology, what H is a person who gains unauthorised access to a computer system?",Hacker,2,,
"On what TV game show, presented by my Mathew Kelly, do contestants impersonate their favourite singers?",Stars in their eyes,2,1,1
"In children’s literature, what was the name of the pirate that lost an arm to Peter Pan?",Captain Hook,2,1,
